id;cap;sigla_provincia
1022;15045;AL
1023;15060;AL
1024;15020;AL
1025;15046;AL
1026;15056;AL
1027;15050;AL
1028;15060;AL
1029;15050;AL
1030;15020;AL
1031;15069;AL
1032;15079;AL
1033;15060;AL
1034;15029;AL
1035;15020;AL
1036;15018;AL
1037;15050;AL
1038;15060;AL
1039;15019;AL
1040;15070;AL
1041;15060;AL
1042;15030;AL
1043;15010;AL
1044;15040;AL
1045;15057;AL
1046;15030;AL
1047;15070;AL
1048;15048;AL
1049;15040;AL
1050;15049;AL
1051;15060;AL
1052;15058;AL
1053;15020;AL
1054;15050;AL
1055;15020;AL
1056;15030;AL
1057;15050;AL
1058;15010;AL
1059;15059;AL
1060;15050;AL
1061;15060;AL
1062;15063;AL
1063;15047;AL
1064;15037;AL
1065;11010;AO
1066;11020;AO
1067;11100;AO
1068;11020;AO
1069;11011;AO
1070;11010;AO
1071;11020;AO
1072;11010;AO
1073;11020;AO
1074;11010;AO
1075;11020;AO
1076;11022;AO
1077;11020;AO
1078;11020;AO
1079;11023;AO
1080;11020;AO
1081;11020;AO
1082;11020;AO
1083;11020;AO
1084;11024;AO
1085;11012;AO
1086;11013;AO
1087;11020;AO
1088;11010;AO
1089;11020;AO
1090;11014;AO
1091;11020;AO
1092;11020;AO
1093;11020;AO
1094;11010;AO
1095;11020;AO
1096;11020;AO
1097;11025;AO
1098;11020;AO
1099;11010;AO
1100;11020;AO
1101;11020;AO
1102;11020;AO
1103;11020;AO
1104;11015;AO
1105;11016;AO
1106;11020;AO
1107;11020;AO
1108;11017;AO
1109;11020;AO
1110;11010;AO
1111;11010;AO
1112;11020;AO
1113;11020;AO
1114;11020;AO
1115;11024;AO
1116;11026;AO
1117;11010;AO
1118;11020;AO
1119;11010;AO
1120;11010;AO
1121;11010;AO
1122;11020;AO
1123;11023;AO
1124;11020;AO
1125;11010;AO
1126;11014;AO
1127;11010;AO
1128;11010;AO
1129;11027;AO
1130;11010;AO
1131;11020;AO
1132;11010;AO
1133;11010;AO
1134;11010;AO
1135;11028;AO
1136;11020;AO
1137;11029;AO
1138;11018;AO
1139;18030;IM
1140;18035;IM
1141;18020;IM
1142;18026;IM
1143;18020;IM
1144;18010;IM
1145;18031;IM
1146;18012;IM
1147;18020;IM
1148;18021;IM
1149;18033;IM
1150;18020;IM
1151;18011;IM
1152;18030;IM
1153;18034;IM
1154;18010;IM
1155;18022;IM
1156;18027;IM
1157;18027;IM
1158;18017;IM
1159;18017;IM
1160;18023;IM
1161;18017;IM
1162;18013;IM
1163;18013;IM
1164;18013;IM
1165;18013;IM
1166;18035;IM
1167;18020;IM
1168;18100;IM
1169;18035;IM
1170;18020;IM
1171;18025;IM
1172;18010;IM
1173;18025;IM
1174;18030;IM
1175;18014;IM
1176;18032;IM
1177;18010;IM
1178;18026;IM
1179;18037;IM
1180;18015;IM
1181;18027;IM
1182;18024;IM
1183;18020;IM
1184;18020;IM
1185;18026;IM
1186;18015;IM
1187;18030;IM
1188;18016;IM
1189;18036;IM
1190;18017;IM
1191;18038;IM
1192;18010;IM
1193;18012;IM
1194;18036;IM
1195;18018;IM
1196;18010;IM
1197;18010;IM
1198;18012;IM
1199;18019;IM
1200;18020;IM
1201;18039;IM
1202;18026;IM
1203;18010;IM
1204;18028;IM
1205;17021;SV
1206;17031;SV
1207;17012;SV
1208;17011;SV
1209;17041;SV
1210;17051;SV
1211;17032;SV
1212;17020;SV
1213;17057;SV
1214;17028;SV
1215;17054;SV
1216;17052;SV
1217;17022;SV
1218;17045;SV
1219;17014;SV
1220;17020;SV
1221;17057;SV
1222;17043;SV
1223;17033;SV
1224;17030;SV
1225;17034;SV
1226;17015;SV
1227;17056;SV
1228;17023;SV
1229;17035;SV
1230;17017;SV
1231;17058;SV
1232;17030;SV
1233;17024;SV
1234;17033;SV
1235;17027;SV
1236;17010;SV
1237;17053;SV
1238;17025;SV
1239;17020;SV
1240;17045;SV
1241;12071;SV
1242;17017;SV
1243;17040;SV
1244;17013;SV
1245;17030;SV
1246;17026;SV
1247;17037;SV
1248;17024;SV
1249;17037;SV
1250;17010;SV
1251;17043;SV
1252;17058;SV
1253;17027;SV
1254;17043;SV
1255;17042;SV
1256;17047;SV
1257;17020;SV
1258;17017;SV
1259;17046;SV
1260;17100;SV
1261;17028;SV
1262;17044;SV
1263;17020;SV
1264;17020;SV
1265;17055;SV
1266;17020;SV
1267;17048;SV
1268;17047;SV
1269;17019;SV
1270;17032;SV
1271;17028;SV
1272;17038;SV
1273;17039;SV
1274;16011;GE
1275;16036;GE
1276;16021;GE
1277;16031;GE
1278;16041;GE
1279;16012;GE
1280;16032;GE
1281;16013;GE
1282;16014;GE
1283;16042;GE
1284;16030;GE
1285;16015;GE
1286;16030;GE
1287;16014;GE
1288;16043;GE
1289;16044;GE
1290;16016;GE
1291;16030;GE
1292;16040;GE
1293;16010;GE
1294;16022;GE
1295;16020;GE
1296;16040;GE
1297;16023;GE
1298;16121;GE
1299;16122;GE
1300;16123;GE
1301;16124;GE
1302;16125;GE
1303;16126;GE
1304;16127;GE
1305;16128;GE
1306;16129;GE
1307;16131;GE
1308;16132;GE
1309;16133;GE
1310;16134;GE
1311;16135;GE
1312;16136;GE
1313;16137;GE
1314;16138;GE
1315;16139;GE
1316;16141;GE
1317;16142;GE
1318;16143;GE
1319;16144;GE
1320;16145;GE
1321;16146;GE
1322;16147;GE
1323;16148;GE
1324;16149;GE
1325;16151;GE
1326;16152;GE
1327;16153;GE
1328;16154;GE
1329;16155;GE
1330;16156;GE
1331;16157;GE
1332;16158;GE
1333;16159;GE
1334;16161;GE
1335;16162;GE
1336;16163;GE
1337;16164;GE
1338;16165;GE
1339;16166;GE
1340;16167;GE
1341;16020;GE
1342;16017;GE
1343;16033;GE
